person,categoria,genero,agno_nacimiento
Quintín Barrientos Villalobos,Deporte,masculino,1899
Pradelia Delgado,Deporte,femenino,1901
Guillermo Subiabre,Deporte,masculino,1903
Carlos Vidal,Deporte,masculino,1902
Manuel Plaza,Deporte,masculino,1900
Carlos Schneeberger,Deporte,masculino,1902
Humberto Elgueta,Deporte,masculino,1904
Roberto Cortés,Deporte,masculino,1905
Víctor Morales Salas,Deporte,masculino,1905
Cesar Espinoza,Deporte,masculino,1900
Ernesto Chaparro,Deporte,masculino,1901
David Arellano,Deporte,masculino,1902
Guillermo Saavedra,Deporte,masculino,1903
Cecilia Medina,Política,femenino,1935
Ximena Rincón,Política,femenino,1958
Isabel Le Brun,Cultura & Ciencia,femenino,1845
Alicia Cañas Zañartu,Política,femenino,1901
Laura Allende,Política,femenino,1911
Carolina Schmidt,Política,femenino,1967
Angata,Otro,femenino,1853
Sor Josefa de los Dolores Peña y Lillo Barbosa,Cultura & Ciencia,femenino,1739
Isidora Zegers Montenegro,Cultura & Ciencia,femenino,1803
Mercedes Marín del Solar,Cultura & Ciencia,femenino,1804
Enriqueta Pinto Garmendia,Cultura & Ciencia,femenino,1817
Celia Castro,Cultura & Ciencia,femenino,1860
Marta Canales,Cultura & Ciencia,femenino,1893
Isidora Aguirre,Cultura & Ciencia,femenino,1919
Violeta Vidaurre,Cultura & Ciencia,femenino,1928
Edith Fischer,Cultura & Ciencia,femenino,1935
Tatiana Lobo,Cultura & Ciencia,femenino,1939
Mónica González Mujica,Cultura & Ciencia,femenino,1949
Pía Barros,Cultura & Ciencia,femenino,1956
Carla Guelfenbein,Cultura & Ciencia,femenino,1959
María Izquierdo Huneeus,Cultura & Ciencia,femenino,1960
Margot Kahl,Cultura & Ciencia,femenino,1961
Pilar Sordo,Cultura & Ciencia,femenino,1965
Verónica Villarroel,Cultura & Ciencia,femenino,1965
Alejandra Costamagna,Cultura & Ciencia,femenino,1970
Marcela Vacarezza,Cultura & Ciencia,femenino,1970
Mónica Godoy,Cultura & Ciencia,femenino,1976
Catalina Palacios,Cultura & Ciencia,femenino,1980
Renata Ruiz,Cultura & Ciencia,femenino,1984
Nataly Chilet,Cultura & Ciencia,femenino,1985
Nicole Moreno,Cultura & Ciencia,femenino,1987
Melissa Aldana,Cultura & Ciencia,femenino,1988
Mélica Muñoz-Schick,Cultura & Ciencia,femenino,1941
Vivianne Blanlot,Cultura & Ciencia,femenino,1955
Veronique Thouvenot,Cultura & Ciencia,femenino,1957
Carolina Tohá,Política,femenino,1965
María Elisa Quinteros,Cultura & Ciencia,femenino,1981
Lucía Abello,Cultura & Ciencia,femenino,2000
Marta Vergara,Cultura & Ciencia,femenino,1898
Karen Doggenweiler,Cultura & Ciencia,femenino,1969
Bárbara Rebolledo,Cultura & Ciencia,femenino,1973
Arturo Torres,Deporte,masculino,1906
Guillermo Riveros,Deporte,masculino,1902
Arturo Coddou,Deporte,masculino,1905
Eberardo Villalobos,Deporte,masculino,1906
Guillermo Arellano,Deporte,masculino,1908
Juan Aguilera,Deporte,masculino,1903
Inés Enríquez Frödden,Política,femenino,1913
Alejandra Krauss,Política,femenino,1956
Candelaria Chimuela,Otro,femenino,1810
Leonor Oyarzún,Otro,femenino,1919
María Errázuriz Echaurren,Política,femenino,1861
Agustina Gutiérrez Salazar,Cultura & Ciencia,femenino,1851
Carmela Mackenna,Cultura & Ciencia,femenino,1879
Henriette Petit,Cultura & Ciencia,femenino,1894
Rosita Renard,Cultura & Ciencia,femenino,1894
Cristina Montt,Cultura & Ciencia,femenino,1895
Elmina Moisan,Cultura & Ciencia,femenino,1897
Laura Rodig,Cultura & Ciencia,femenino,1901
Virginia Cox Balmaceda,Cultura & Ciencia,femenino,1905
Alicia Barrié,Cultura & Ciencia,femenino,1915
Matilde Pérez,Cultura & Ciencia,femenino,1916
Gloria Lynch,Cultura & Ciencia,femenino,1919
Eliana Navarro,Cultura & Ciencia,femenino,1920
Malú Gatica,Cultura & Ciencia,femenino,1922
Delfina Guzmán,Cultura & Ciencia,femenino,1928
Lupe Serrano,Cultura & Ciencia,femenino,1930
Margarita Pisano,Cultura & Ciencia,femenino,1932
Lotty Rosenfeld,Cultura & Ciencia,femenino,1943
Carmen Castillo,Cultura & Ciencia,femenino,1945
Ximena Armas,Cultura & Ciencia,femenino,1946
Ana María del Río,Cultura & Ciencia,femenino,1948
Coca Guazzini,Cultura & Ciencia,femenino,1953
Malucha Pinto,Cultura & Ciencia,femenino,1955
Adela Calderón,Cultura & Ciencia,femenino,1959
Pamela Jiles,Cultura & Ciencia,femenino,1960
Sandra O'Ryan,Cultura & Ciencia,femenino,1960
Katty Kowaleczko,Cultura & Ciencia,femenino,1964
Claudia Celedón,Cultura & Ciencia,femenino,1966
Ishtar Yasin Gutiérrez,Cultura & Ciencia,femenino,1968
Paola Volpato,Cultura & Ciencia,femenino,1969
Paulina Urrutia,Cultura & Ciencia,femenino,1969
María José Ferrada,Cultura & Ciencia,femenino,1970
Alexandra Castillo,Cultura & Ciencia,femenino,1971
Francisca Imboden,Cultura & Ciencia,femenino,1972
Tamara Acosta,Cultura & Ciencia,femenino,1972
Carola Saavedra,Cultura & Ciencia,femenino,1973
Antonella Ríos,Cultura & Ciencia,femenino,1974
Carolina Fadic,Cultura & Ciencia,femenino,1974
Ingrid Cruz,Cultura & Ciencia,femenino,1975
Mariana Loyola,Cultura & Ciencia,femenino,1975
Alejandra Dueñas,Cultura & Ciencia,femenino,1976
Daniella Campos,Cultura & Ciencia,femenino,1976
Luz Valdivieso,Cultura & Ciencia,femenino,1977
Patricia López-Menadier,Cultura & Ciencia,femenino,1977
Nathalia Aragonese,Cultura & Ciencia,femenino,1981
Pia Miller,Cultura & Ciencia,femenino,1983
María Gracia Omegna,Cultura & Ciencia,femenino,1984
Pascuala Ilabaca,Cultura & Ciencia,femenino,1985
Catalina Vera,Cultura & Ciencia,femenino,1987
Daniela Ramírez,Cultura & Ciencia,femenino,1987
Mayte Rodríguez Cuevas,Cultura & Ciencia,femenino,1989
Constanza Varela,Cultura & Ciencia,femenino,1991
Alicia Rodríguez,Cultura & Ciencia,femenino,1992
Constanza Piccoli Molina,Cultura & Ciencia,femenino,1992
Francisca Silva,Cultura & Ciencia,femenino,1992
Cami,Cultura & Ciencia,femenino,1996
Justicia Acuña Mena,Cultura & Ciencia,femenino,1893
Patricia May,Cultura & Ciencia,femenino,1901
Rebeca Acevedo,Cultura & Ciencia,femenino,1902
