person,categoria,genero,agno_nacimiento
Miguel Luis Rocuant,Cultura & Ciencia,masculino,1877
Olegario Lazo Baeza,Cultura & Ciencia,masculino,1878
Jerónimo Costa,Cultura & Ciencia,masculino,1880
Andrés Steinfort Mulsow,Cultura & Ciencia,masculino,1883
Jerónimo Lagos Lisboa,Cultura & Ciencia,masculino,1883
Nathanael Yáñez Silva,Cultura & Ciencia,masculino,1884
Abelardo Bustamante,Cultura & Ciencia,masculino,1888
Félix Nieto del Río,Cultura & Ciencia,masculino,1888
Otto Georgi,Cultura & Ciencia,masculino,1890
Isaías Cabezón,Cultura & Ciencia,masculino,1891
Domingo Melfi,Cultura & Ciencia,masculino,1892
Jorge Hübner Bezanilla,Cultura & Ciencia,masculino,1892
Samuel Negrete,Cultura & Ciencia,masculino,1892
Germán Luco Cruchaga,Cultura & Ciencia,masculino,1894
Emilio Kartulovic,Cultura & Ciencia,masculino,1895
Carlos Cariola,Cultura & Ciencia,masculino,1895
Lautaro García,Cultura & Ciencia,masculino,1895
Luis Durand,Cultura & Ciencia,masculino,1895
Alberto Romero,Cultura & Ciencia,masculino,1896
Antonio Rendic,Cultura & Ciencia,masculino,1896
Nicanor Molinare,Cultura & Ciencia,masculino,1896
Arturo Torres Rioseco,Cultura & Ciencia,masculino,1897
Guillermo Bianchi,Cultura & Ciencia,masculino,1897
Moisés Mussa,Cultura & Ciencia,masculino,1900
Pedro Lira Urquieta,Cultura & Ciencia,masculino,1900
Yolando Pino,Cultura & Ciencia,masculino,1901
Eugenio González Rojas,Cultura & Ciencia,masculino,1903
Ricardo A. Latcham,Cultura & Ciencia,masculino,1903
Antonio Quintana,Cultura & Ciencia,masculino,1904
José Díez-Canseco Pereyra,Cultura & Ciencia,masculino,1904
Carlos Hermosilla Álvarez,Cultura & Ciencia,masculino,1905
Daniel Belmar,Cultura & Ciencia,masculino,1906
Raúl Aldunate Phillips,Cultura & Ciencia,masculino,1906
Oscar Camino,Cultura & Ciencia,masculino,1907
Juan Uribe Echevarría,Cultura & Ciencia,masculino,1908
Mariano Rawicz,Cultura & Ciencia,masculino,1908
Roberto Flores Álvarez,Cultura & Ciencia,masculino,1909
Mario Bahamonde Silva,Cultura & Ciencia,masculino,1910
Pepe Aguirre,Cultura & Ciencia,masculino,1911
Ramón Campbell,Cultura & Ciencia,masculino,1911
Federico Lohse,Cultura & Ciencia,masculino,1912
Óscar Waiss,Cultura & Ciencia,masculino,1912
Hernán Núñez Oyarce,Cultura & Ciencia,masculino,1914
Enrique Puelma,Cultura & Ciencia,masculino,1914
Guillermo Atías,Cultura & Ciencia,masculino,1917
José Goles,Cultura & Ciencia,masculino,1917
Luis Vergara Ahumada,Cultura & Ciencia,masculino,1917
Domingo Tessier,Cultura & Ciencia,masculino,1918
Rubén Soto Gutiérrez,Cultura & Ciencia,masculino,1920
Alfonso Alcalde,Cultura & Ciencia,masculino,1921
Galvarino Ponce Morel,Cultura & Ciencia,masculino,1921
Juan Matus Aracena,Cultura & Ciencia,masculino,1921
Patricio Kaulen,Cultura & Ciencia,masculino,1921
Juan Amenábar,Cultura & Ciencia,masculino,1922
Ramón Vergara Grez,Cultura & Ciencia,masculino,1923
Baldo Araya Uribe,Cultura & Ciencia,masculino,1924
Calatambo Albarracín,Cultura & Ciencia,masculino,1924
Patricio Bunster,Cultura & Ciencia,masculino,1924
Carlos Riesco,Cultura & Ciencia,masculino,1925
Hardy Wistuba,Cultura & Ciencia,masculino,1925
Óscar Gacitúa Weston,Cultura & Ciencia,masculino,1925
Augusto Barcia,Cultura & Ciencia,masculino,1926
Carlos Martner,Cultura & Ciencia,masculino,1926
Guillermo Blanco,Cultura & Ciencia,masculino,1926
Hans Stein,Cultura & Ciencia,masculino,1926
Tomás Lefever,Cultura & Ciencia,masculino,1926
Fernando Cuadra,Cultura & Ciencia,masculino,1927
Gastón Soublette,Cultura & Ciencia,masculino,1927
Ludwig Zeller,Cultura & Ciencia,masculino,1927
Luis Alberto Acuña Gatillon,Cultura & Ciencia,masculino,1927
Alberto Achacaz Walakial,Cultura & Ciencia,masculino,1929
Humberto Duvauchelle,Cultura & Ciencia,masculino,1929
Jorge Romero,Cultura & Ciencia,masculino,1929
Osvaldo Jeldres,Cultura & Ciencia,masculino,1929
Raúl de Ramón,Cultura & Ciencia,masculino,1929
Guillermo Núñez,Cultura & Ciencia,masculino,1930
Fernando Rosas Pfingsthorn,Cultura & Ciencia,masculino,1931
José Casals,Cultura & Ciencia,masculino,1931
Pepe Fuentes,Cultura & Ciencia,masculino,1931
Raúl Valdivieso,Cultura & Ciencia,masculino,1931
Sergio Sauvalle,Cultura & Ciencia,masculino,1931
Fernando Farías,Cultura & Ciencia,masculino,1932
Héctor Pavez,Cultura & Ciencia,masculino,1932
Luis Rivano,Cultura & Ciencia,masculino,1932
Pedro Chaskel,Cultura & Ciencia,masculino,1932
Ernesto Guarda Carrasco,Cultura & Ciencia,masculino,1933
"Luis ""Checho"" González",Cultura & Ciencia,masculino,1933
Walter Garib,Cultura & Ciencia,masculino,1933
Germán Marín,Cultura & Ciencia,masculino,1934
Mandolino,Cultura & Ciencia,masculino,1934
Miguel Rojas Mix,Cultura & Ciencia,masculino,1934
Chino Urquidi,Cultura & Ciencia,masculino,1935
Mago Larraín,Cultura & Ciencia,masculino,1935
Milan Ivelic Kusanovic,Cultura & Ciencia,masculino,1935
Pedro Humire,Cultura & Ciencia,masculino,1935
Jorge Gajardo,Cultura & Ciencia,masculino,1936
Poli Délano,Cultura & Ciencia,masculino,1936
Rosamel Araya,Cultura & Ciencia,masculino,1936
Jorge Yáñz,Cultura & Ciencia,masculino,1937
Roberto Edwards Eastman,Cultura & Ciencia,masculino,1937
Bernardino Bravo Lira,Cultura & Ciencia,masculino,1938
Ernesto Fontecilla,Cultura & Ciencia,masculino,1938
Juan Azúa,Cultura & Ciencia,masculino,1938
Federico Schopf,Cultura & Ciencia,masculino,1940
Luis Poirot,Cultura & Ciencia,masculino,1940
Mario Irarrázabal,Cultura & Ciencia,masculino,1940
John Dinges,Cultura & Ciencia,masculino,1941
Patricio Court,Cultura & Ciencia,masculino,1941
Adriano Castillo,Cultura & Ciencia,masculino,1941
Gaspar Galaz Capechiacci,Cultura & Ciencia,masculino,1941
Ramón Núñez Villarroel,Cultura & Ciencia,masculino,1941
Helio Gallardo,Cultura & Ciencia,masculino,1942
Jaime Quezada,Cultura & Ciencia,masculino,1942
Willy Bascuñán,Cultura & Ciencia,masculino,1942
Jorge Vidal,Cultura & Ciencia,masculino,1943
Ernesto Carmona Ulloa,Cultura & Ciencia,masculino,1943
Eugenio Dittborn,Cultura & Ciencia,masculino,1943
Juan Subercaseaux,Cultura & Ciencia,masculino,1943
Luis Dimas,Cultura & Ciencia,masculino,1943
Marcelo Tomás Montecino Slaughter,Cultura & Ciencia,masculino,1943
Álvaro Peña-Rojas,Cultura & Ciencia,masculino,1943
José Ángel Cuevas,Cultura & Ciencia,masculino,1944
Manuel Fuentes Wendling,Cultura & Ciencia,masculino,1944
Roberto Lecaros,Cultura & Ciencia,masculino,1944
Tommy Rey,Cultura & Ciencia,masculino,1944
Waldo Rojas,Cultura & Ciencia,masculino,1944
Zerreitug,Cultura & Ciencia,masculino,1944
Alfredo Saint-Jean Domic,Cultura & Ciencia,masculino,1945
Patricio Renán,Cultura & Ciencia,masculino,1945
Rodrigo Lira,Cultura & Ciencia,masculino,1945
Horacio Saavedra Núñez,Cultura & Ciencia,masculino,1946
José Soza,Cultura & Ciencia,masculino,1946
Néstor Olhagaray,Cultura & Ciencia,masculino,1946
Pedro Yáñez,Cultura & Ciencia,masculino,1946
Cristián Valdés Pascal,Cultura & Ciencia,masculino,1947
Gonzalo Díaz Cuevas,Cultura & Ciencia,masculino,1947
Jorge Coulón,Cultura & Ciencia,masculino,1947
José Alfredo Fuentes,Cultura & Ciencia,masculino,1947
Óscar Hernández,Cultura & Ciencia,masculino,1947
César Castillo,Cultura & Ciencia,masculino,1948
José Seves,Cultura & Ciencia,masculino,1948
Marcelo Hernández,Cultura & Ciencia,masculino,1948
Wildo,Cultura & Ciencia,masculino,1948
José Secall,Cultura & Ciencia,masculino,1949
Juan Bosco Maino Canales,Cultura & Ciencia,masculino,1949
Miguel Laborde,Cultura & Ciencia,masculino,1949
Adrián Santini,Cultura & Ciencia,masculino,1950
Carlos Cociña,Cultura & Ciencia,masculino,1950
Guillermo Basterrechea,Cultura & Ciencia,masculino,1950
Juan Antonio Massone,Cultura & Ciencia,masculino,1950
Mario Banic,Cultura & Ciencia,masculino,1950
Osvaldo Peña,Cultura & Ciencia,masculino,1950
Mario Argandoña,Cultura & Ciencia,masculino,1950
Alejandro Guarello,Cultura & Ciencia,masculino,1951
Andrés Pérez Araya,Cultura & Ciencia,masculino,1951
Diego Maquieira,Cultura & Ciencia,masculino,1951
Edward Rojas Vega,Cultura & Ciencia,masculino,1951
Roberto Márquez,Cultura & Ciencia,masculino,1951
Cristián García-Huidobro,Cultura & Ciencia,masculino,1952
Francisco Smythe,Cultura & Ciencia,masculino,1952
Hugo Moraga,Cultura & Ciencia,masculino,1952
Lautaro Díaz,Cultura & Ciencia,masculino,1953
Osvaldo Torres,Cultura & Ciencia,masculino,1953
Óscar Gacitúa,Cultura & Ciencia,masculino,1953
Gustavo Ross Arnello,Cultura & Ciencia,masculino,1954
Jorge Montealegre Iturra,Cultura & Ciencia,masculino,1954
Osvaldo Ulloa Sánchez,Cultura & Ciencia,masculino,1954
Ricardo Astorga,Cultura & Ciencia,masculino,1954
Gustavo Graef Marino,Cultura & Ciencia,masculino,1955
Marcelo Mellado,Cultura & Ciencia,masculino,1955
Felipe Berríos,Cultura & Ciencia,masculino,1956
Jesús Inostroza,Cultura & Ciencia,masculino,1956
Palolo Valdés,Cultura & Ciencia,masculino,1956
Pedro Vicuña,Cultura & Ciencia,masculino,1956
Sandro Larenas,Cultura & Ciencia,masculino,1956
Ascanio Cavallo,Cultura & Ciencia,masculino,1957
José María Memet,Cultura & Ciencia,masculino,1957
Manuel Andros,Cultura & Ciencia,masculino,1957
Roberto Scherson,Cultura & Ciencia,masculino,1957
Óscar Andrade,Cultura & Ciencia,masculino,1957
Alejandro Lavquén,Cultura & Ciencia,masculino,1959
Gigi Martin,Cultura & Ciencia,masculino,1959
Palta Meléndez,Cultura & Ciencia,masculino,1959
Claudio Reyes,Cultura & Ciencia,masculino,1960
Dino Gordillo,Cultura & Ciencia,masculino,1960
El Monteaguilino (folclorista chileno),Cultura & Ciencia,masculino,1960
Francisco José Urzúa Prieto,Cultura & Ciencia,masculino,1960
José Teiguel,Cultura & Ciencia,masculino,1960
Luis Alberto Tamayo,Cultura & Ciencia,masculino,1960
Sergio Rojas,Cultura & Ciencia,masculino,1960
Cristián Warnken,Cultura & Ciencia,masculino,1961
Claudio Arredondo,Cultura & Ciencia,masculino,1962
Luis Bernardo Oyarzún,Cultura & Ciencia,masculino,1963
Marcial Tagle,Cultura & Ciencia,masculino,1963
Tito Matamala,Cultura & Ciencia,masculino,1963
Leopoldo Martínez Nucete,Cultura & Ciencia,masculino,1964
Osvaldo Strongoli,Cultura & Ciencia,masculino,1964
Cuti Aste,Cultura & Ciencia,masculino,1965
Pablo Chiuminatto,Cultura & Ciencia,masculino,1965
Roberto Orellana,Cultura & Ciencia,masculino,1965
Víctor Hugo Díaz,Cultura & Ciencia,masculino,1965
Mauricio Flores,Cultura & Ciencia,masculino,1966
Yuri Pérez,Cultura & Ciencia,masculino,1966
Francisco Véjar,Cultura & Ciencia,masculino,1967
Jaime Luis Huenún,Cultura & Ciencia,masculino,1967
Jorge Alís,Cultura & Ciencia,masculino,1967
Pablo Macaya,Cultura & Ciencia,masculino,1967
Roberto Lindl,Cultura & Ciencia,masculino,1967
Mauricio Basualto,Cultura & Ciencia,masculino,1968
Paul Vásquez,Cultura & Ciencia,masculino,1968
Ramón Llao,Cultura & Ciencia,masculino,1968
Alberto Rojas Moscoso,Cultura & Ciencia,masculino,1970
Patricio Navia,Cultura & Ciencia,masculino,1970
Eloy Alquinta,Cultura & Ciencia,masculino,1971
Tata Barahona,Cultura & Ciencia,masculino,1971
Yanko González,Cultura & Ciencia,masculino,1971
Gonzalo Vivanco,Cultura & Ciencia,masculino,1972
Javier Bello,Cultura & Ciencia,masculino,1972
Julio Jung Duvauchelle,Cultura & Ciencia,masculino,1972
Carlos Díaz (actor chileno),Cultura & Ciencia,masculino,1973
Chris Carpentier,Cultura & Ciencia,masculino,1973
Claudio González,Cultura & Ciencia,masculino,1973
Cristián Heyne,Cultura & Ciencia,masculino,1973
Nino Muñoz,Cultura & Ciencia,masculino,1973
Alexitico,Cultura & Ciencia,masculino,1974
Andrés Anwandter,Cultura & Ciencia,masculino,1974
Andrés de León,Cultura & Ciencia,masculino,1974
Felipe Ilabaca,Cultura & Ciencia,masculino,1974
Gregorio González Nicolini,Cultura & Ciencia,masculino,1974
Hugo Eduardo Herrera,Cultura & Ciencia,masculino,1974
Juan Cristóbal Romero,Cultura & Ciencia,masculino,1974
Álvaro Espinoza,Cultura & Ciencia,masculino,1974
Cristián Alejandro Pérez Oyarzo,Cultura & Ciencia,masculino,1975
Felipe Ríos,Cultura & Ciencia,masculino,1975
Gonzalo Maza,Cultura & Ciencia,masculino,1975
José Ignacio Martínez,Cultura & Ciencia,masculino,1975
José Luis Flores Letelier,Cultura & Ciencia,masculino,1975
Nicolás Saavedra,Cultura & Ciencia,masculino,1975
Pedro Montealegre Latorre,Cultura & Ciencia,masculino,1975
Camilo Salinas,Cultura & Ciencia,masculino,1976
Carlos Pérez (guitarrista chileno),Cultura & Ciencia,masculino,1976
Matías Leonicio,Cultura & Ciencia,masculino,1976
Pablo Ilabaca,Cultura & Ciencia,masculino,1976
Eduardo Ibeas,Cultura & Ciencia,masculino,1977
Franco Scianca,Cultura & Ciencia,masculino,1977
Galo Ghigliotto,Cultura & Ciencia,masculino,1977
Giovanni Falchetti,Cultura & Ciencia,masculino,1977
Hugo Covarrubias,Cultura & Ciencia,masculino,1977
Christian Henríquez,Cultura & Ciencia,masculino,1978
Eduardo Bertrán,Cultura & Ciencia,masculino,1978
Juan Ignacio Sabatini,Cultura & Ciencia,masculino,1978
Lucio Rojas,Cultura & Ciencia,masculino,1978
Pedropiedra,Cultura & Ciencia,masculino,1978
Ricardo Fernández Flores,Cultura & Ciencia,masculino,1978
Tea-Time,Cultura & Ciencia,masculino,1978
Héctor Hernández Montecinos,Cultura & Ciencia,masculino,1979
Ignacio Achurra,Cultura & Ciencia,masculino,1979
Ignacio Fritz,Cultura & Ciencia,masculino,1979
Mario Velasco,Cultura & Ciencia,masculino,1979
Rodrigo Díaz (bailarín),Cultura & Ciencia,masculino,1979
Rodrigo Guzmán Yacsich,Cultura & Ciencia,masculino,1979
Felipe Contreras,Cultura & Ciencia,masculino,1980
Juan David Rodríguez,Cultura & Ciencia,masculino,1980
Pablo Cerda,Cultura & Ciencia,masculino,1980
Sergio Freire,Cultura & Ciencia,masculino,1980
Mario Guerrero,Cultura & Ciencia,masculino,1981
Mauricio Nader,Cultura & Ciencia,masculino,1981
Pedro Ruminot,Cultura & Ciencia,masculino,1981
Botota Fox,Cultura & Ciencia,masculino,1982
Eduardo Paxeco,Cultura & Ciencia,masculino,1982
Etienne Bobenrieth,Cultura & Ciencia,masculino,1982
Gonzalo López,Cultura & Ciencia,masculino,1982
Ignacio Garmendia,Cultura & Ciencia,masculino,1982
Nicolás Poblete,Cultura & Ciencia,masculino,1982
Pablo Paredes Muñoz,Cultura & Ciencia,masculino,1982
Pali (cantante),Cultura & Ciencia,masculino,1982
Arianda Sodi,Cultura & Ciencia,masculino,1983
Daniel Hidalgo,Cultura & Ciencia,masculino,1983
Daniel Rojas,Cultura & Ciencia,masculino,1983
Fernando Guzzoni,Cultura & Ciencia,masculino,1983
Leonardo Medel,Cultura & Ciencia,masculino,1983
Philippe Trillat,Cultura & Ciencia,masculino,1983
André Ubilla,Cultura & Ciencia,masculino,1984
Damián Bodenhöfer,Cultura & Ciencia,masculino,1984
Guillermo Lorca García-Huidobro,Cultura & Ciencia,masculino,1984
Cristóbal Briceño,Cultura & Ciencia,masculino,1985
Gastón Salgado,Cultura & Ciencia,masculino,1985
Martín del Real,Cultura & Ciencia,masculino,1985
Sergio Járlaz,Cultura & Ciencia,masculino,1985
Julio César Serrano,Cultura & Ciencia,masculino,1986
Sebastián Videla,Cultura & Ciencia,masculino,1986
Antonio Campos,Cultura & Ciencia,masculino,1987
Carlos Azócar,Cultura & Ciencia,masculino,1987
Felipe Álvarez,Cultura & Ciencia,masculino,1987
Ignacio Susperreguy,Cultura & Ciencia,masculino,1987
Ismael Oddó Arrarás,Cultura & Ciencia,masculino,1987
Juan Zamorano,Cultura & Ciencia,masculino,1987
Luz Violeta,Cultura & Ciencia,masculino,1987
Pedro Campos Di Girolamo,Cultura & Ciencia,masculino,1988
Sebastián Ayala,Cultura & Ciencia,masculino,1988
Fabrizio Copano,Cultura & Ciencia,masculino,1989
Francisco Dañobeitia,Cultura & Ciencia,masculino,1991
Simón Pesutic,Cultura & Ciencia,masculino,1993
Gianluca,Cultura & Ciencia,masculino,1996
Pailita,Cultura & Ciencia,masculino,2000
Cris MJ,Cultura & Ciencia,masculino,2001
Marco Urrutia,Cultura & Ciencia,masculino,2002
Lorenzo Mújica,Cultura & Ciencia,masculino,NA
Manuel Antonio Carmona Fonseca,Cultura & Ciencia,masculino,1810
Nicanor Letelier Cruz,Cultura & Ciencia,masculino,1817
Eduardo de Lapeyrouse,Cultura & Ciencia,masculino,1821
Luis Valenzuela Guzmán,Cultura & Ciencia,masculino,1825
Nicanor Rojas Bravo,Cultura & Ciencia,masculino,1830
Adolfo Valderrama Sáenz de la Peña,Cultura & Ciencia,masculino,1834
Wenceslao Díaz Gallegos,Cultura & Ciencia,masculino,1834
Gustavo Heyermann,Cultura & Ciencia,masculino,1834
Francisco J. San Román,Cultura & Ciencia,masculino,1837
José Ignacio Vergara,Cultura & Ciencia,masculino,1837
Domingo Fernández Puelma,Cultura & Ciencia,masculino,1841
Eloy Cortínez Fuentes,Cultura & Ciencia,masculino,1841
Juan Eduardo Fehrman,Cultura & Ciencia,masculino,1845
Diego San Cristóbal,Cultura & Ciencia,masculino,1846
Eduardo Cortínez Fuentes,Cultura & Ciencia,masculino,1849
Jenaro Lisboa Huerta,Cultura & Ciencia,masculino,1850
Domingo Víctor Santa María,Cultura & Ciencia,masculino,1854
Diego Bahamonde Larenas,Cultura & Ciencia,masculino,1856
Williams Bartlett Calvert,Cultura & Ciencia,masculino,1856
Víctor Ríos Ruiz,Cultura & Ciencia,masculino,1863
Enrique Deformes,Cultura & Ciencia,masculino,1866
Federico Albert,Cultura & Ciencia,masculino,1867
Caupolicán Pardo Correa,Cultura & Ciencia,masculino,1869
Pedro Lautaro Ferrer,Cultura & Ciencia,masculino,1869
Eleazar Lezaeta Acharán,Cultura & Ciencia,masculino,1870
Idelfonso Rivera Alcayaga,Cultura & Ciencia,masculino,1871
Luis Calvo Mackenna,Cultura & Ciencia,masculino,1872
Marcial Ramón Espinosa Bustos,Cultura & Ciencia,masculino,1874
Miguel Letelier Espínola,Cultura & Ciencia,masculino,1883
Luis Acevedo Acevedo,Cultura & Ciencia,masculino,1885
Enrique Madrid Osorio,Cultura & Ciencia,masculino,1886
Domingo Matte Larraín,Cultura & Ciencia,masculino,1889
Luis Omar Page,Cultura & Ciencia,masculino,1889
Jorge Bustos León,Cultura & Ciencia,masculino,1890
Leonardo Guzmán Cortés,Cultura & Ciencia,masculino,1890
Isauro Torres Cereceda,Cultura & Ciencia,masculino,1893
Federico Corssen Decher,Cultura & Ciencia,masculino,1895
Arturo Bianchi Gundián,Cultura & Ciencia,masculino,1897
Sótero del Río,Cultura & Ciencia,masculino,1900
Adolfo Matthei Schwarzenberg,Cultura & Ciencia,masculino,1902
Arturo Maschke,Cultura & Ciencia,masculino,1902
Raúl Brañes Farmer,Cultura & Ciencia,masculino,1903
Gustavo Loyola Vásquez,Cultura & Ciencia,masculino,1904
Óscar Marín,Cultura & Ciencia,masculino,1905
Herbert Appel,Cultura & Ciencia,masculino,1907
Héctor Mardones,Cultura & Ciencia,masculino,1907
Francisco Rojas Villegas,Cultura & Ciencia,masculino,1909
Manuel Antonio Garretón Walker,Cultura & Ciencia,masculino,1909
Francisco Eduardo Aedo Carrasco,Cultura & Ciencia,masculino,1910
Juan Borchers,Cultura & Ciencia,masculino,1910
Jaime Barros Pérez Cotapos,Cultura & Ciencia,masculino,1911
Gabriel Gasic,Cultura & Ciencia,masculino,1912
Manuel José Irarrázaval Larraín,Cultura & Ciencia,masculino,1912
Raúl Sáez,Cultura & Ciencia,masculino,1913
Augusto Edmundo Lobo Barrientos,Cultura & Ciencia,masculino,1914
Gustavo Monckeberg Barros,Cultura & Ciencia,masculino,1914
Tomás Reyes Vicuña,Cultura & Ciencia,masculino,1914
Luis Escobar Astaburuaga,Cultura & Ciencia,masculino,1915
Ernesto Ayala,Cultura & Ciencia,masculino,1916
Humberto Magliochetti,Cultura & Ciencia,masculino,1918
Guillermo Mann,Cultura & Ciencia,masculino,1919
Mauricio Jungk,Cultura & Ciencia,masculino,1921
Danko Brncic,Cultura & Ciencia,masculino,1922
Jorge Sabat Gozalo,Cultura & Ciencia,masculino,1922
Miguel Eyquem Astorga,Cultura & Ciencia,masculino,1922
Arturo Arias Suárez,Cultura & Ciencia,masculino,1923
Héctor Olivares Solís,Cultura & Ciencia,masculino,1924
Renato Poblete,Cultura & Ciencia,masculino,1924
Jaime Zipper,Cultura & Ciencia,masculino,1926
Jorge Kaplán,Cultura & Ciencia,masculino,1926
Mario Hamuy Berr,Cultura & Ciencia,masculino,1926
Fernando Léniz,Cultura & Ciencia,masculino,1927
Jorge Cabello Pizarro,Cultura & Ciencia,masculino,1927
Sergio Alemparte Aldunate,Cultura & Ciencia,masculino,1927
Gonzalo Mardones Restat,Cultura & Ciencia,masculino,1928
Luis Godoy Gómez,Cultura & Ciencia,masculino,1928
Miguel Lawner,Cultura & Ciencia,masculino,1928
Clodomiro Fidel Segundo Marticorena,Cultura & Ciencia,masculino,1929
Fernando Sanhueza Herbage,Cultura & Ciencia,masculino,1929
Isidoro Tohá,Cultura & Ciencia,masculino,1929
Juan Parrochia,Cultura & Ciencia,masculino,1930
Carlos Matus,Cultura & Ciencia,masculino,1931
Christian de Groote,Cultura & Ciencia,masculino,1931
Eduardo Armstrong,Cultura & Ciencia,masculino,1931
Jorge Morales Adriasola,Cultura & Ciencia,masculino,1931
Osvaldo Olguín Zapata,Cultura & Ciencia,masculino,1931
Rogelio de la Fuente,Cultura & Ciencia,masculino,1931
Óscar Naranjo Arias,Cultura & Ciencia,masculino,1931
Leonardo Hagel Arredondo,Cultura & Ciencia,masculino,1932
Víctor Gubbins Browne,Cultura & Ciencia,masculino,1932
Eduardo Vargas Herrera,Cultura & Ciencia,masculino,1933
Daniel Frassinetti,Cultura & Ciencia,masculino,1939
David  Silberman Gurovich,Cultura & Ciencia,masculino,1939
Carlos Cáceres Contreras,Cultura & Ciencia,masculino,1940
Eugenio Ortega,Cultura & Ciencia,masculino,1940
Fernando Fajnzylber,Cultura & Ciencia,masculino,1940
Guillermo Mac Millan,Cultura & Ciencia,masculino,1940
Ignacio Balbontín,Cultura & Ciencia,masculino,1940
Álvaro Bardón,Cultura & Ciencia,masculino,1940
Pedro Pablo Rosso,Cultura & Ciencia,masculino,1941
Juan Ignacio Baixas Figueras,Cultura & Ciencia,masculino,1942
Salvador Urrutia,Cultura & Ciencia,masculino,1942
Joaquín Palma,Cultura & Ciencia,masculino,1943
Sergio Lavanchy,Cultura & Ciencia,masculino,1943
Víctor Pérez Vera,Cultura & Ciencia,masculino,1943
Marcelo Concha Bascuñán,Cultura & Ciencia,masculino,1945
Bartolomé Leal,Cultura & Ciencia,masculino,1946
Moisés Selman,Cultura & Ciencia,masculino,1946
Víctor Lobos,Cultura & Ciencia,masculino,1946
Martín Zilic,Cultura & Ciencia,masculino,1947
Luis Riveros,Cultura & Ciencia,masculino,1948
Germán del Sol de Invierno,Cultura & Ciencia,masculino,1949
Hugo Lavados,Cultura & Ciencia,masculino,1949
José Zagal,Cultura & Ciencia,masculino,1949
Juan Sabbagh,Cultura & Ciencia,masculino,1949
Carlos Alarcón,Cultura & Ciencia,masculino,1950
Ennio Vivaldi,Cultura & Ciencia,masculino,1950
Fernando Pérez Oyarzún,Cultura & Ciencia,masculino,1950
Pablo Piñera Echenique,Cultura & Ciencia,masculino,1950
José Yáñez Valenzuela,Cultura & Ciencia,masculino,1951
Julio Dittborn,Cultura & Ciencia,masculino,1951
Sergio Melnick,Cultura & Ciencia,masculino,1951
Alfredo Stöhwing,Cultura & Ciencia,masculino,1952
Carlos Olivares Zepeda,Cultura & Ciencia,masculino,1952
Iván Arancibia Navarro,Cultura & Ciencia,masculino,1952
Manuel Marfán,Cultura & Ciencia,masculino,1952
Gonzalo Duarte,Cultura & Ciencia,masculino,1953
Herman Núñez,Cultura & Ciencia,masculino,1953
Raúl Alcaíno,Cultura & Ciencia,masculino,1953
Víctor Barrueto,Cultura & Ciencia,masculino,1953
Carlos Mladinic,Cultura & Ciencia,masculino,1954
Claudio Hohmann,Cultura & Ciencia,masculino,1954
Álvaro García Hurtado,Cultura & Ciencia,masculino,1954
Gastón Saavedra,Cultura & Ciencia,masculino,1955
Alberto Robles,Cultura & Ciencia,masculino,1956
Diego Muñoz Valenzuela,Cultura & Ciencia,masculino,1956
Gonzalo Navarrete,Cultura & Ciencia,masculino,1956
Héctor Gaete Feres,Cultura & Ciencia,masculino,1956
Luis Castillo Fuenzalida,Cultura & Ciencia,masculino,1957
Hernán Palma,Cultura & Ciencia,masculino,1958
Álvaro Erazo,Cultura & Ciencia,masculino,1958
Juan Pablo Aboitiz,Cultura & Ciencia,masculino,1959
Kenneth Pugh,Cultura & Ciencia,masculino,1959
Mahmud Aleuy,Cultura & Ciencia,masculino,1959
Sergio Lavandero,Cultura & Ciencia,masculino,1959
Alejandro Kusanovic,Cultura & Ciencia,masculino,1960
Germán Quintana,Cultura & Ciencia,masculino,1960
Sergio Baeriswyl,Cultura & Ciencia,masculino,1960
José Ramón Valente Vias,Cultura & Ciencia,masculino,1962
Patricio Artiagoitía,Cultura & Ciencia,masculino,1962
Jorge Sabag,Cultura & Ciencia,masculino,1963
Patricio Vallespín,Cultura & Ciencia,masculino,1964
Flavio Salazar,Cultura & Ciencia,masculino,1965
Manuel Monsalve,Cultura & Ciencia,masculino,1965
Enrique Lee,Cultura & Ciencia,masculino,1967
Iván Cisternas,Cultura & Ciencia,masculino,1967
Andrés Couve,Cultura & Ciencia,masculino,1968
Christian Urízar,Cultura & Ciencia,masculino,1968
Patricio Rosas Barrientos,Cultura & Ciencia,masculino,1968
Rodrigo Loyola,Cultura & Ciencia,masculino,1968
Miguel Ángel Quezada,Cultura & Ciencia,masculino,1969
Eric Parrado,Cultura & Ciencia,masculino,1970
Felipe Assadi,Cultura & Ciencia,masculino,1971
Sebastián Antonio Jiménez,Cultura & Ciencia,masculino,1971
Jaime Burrows,Cultura & Ciencia,masculino,1972
Óscar Landerretche Moreno,Cultura & Ciencia,masculino,1972
Rodrigo Cerda Norambuena,Cultura & Ciencia,masculino,1973
Sebastián Dávalos,Cultura & Ciencia,masculino,1978
Martín Arrau,Cultura & Ciencia,masculino,1979
Giorgio Boccardo,Cultura & Ciencia,masculino,1982
Alejandro Weber,Cultura & Ciencia,masculino,1983
Fernando Araos,Cultura & Ciencia,masculino,1984
Cristóbal Andrade,Cultura & Ciencia,masculino,1988
Jorge Brito Hasbún,Cultura & Ciencia,masculino,1990
Tomás Vodanovic,Cultura & Ciencia,masculino,1990
