"","person","genero","politico","agno_nacimiento"
"251","Lotty Rosenfeld","femenino",0,1943
"252","Carmen Castillo","femenino",0,1945
"253","Ximena Armas","femenino",0,1946
"254","Ana María del Río","femenino",0,1948
"255","Coca Guazzini","femenino",0,1953
"256","Malucha Pinto","femenino",0,1955
"257","Adela Calderón","femenino",0,1959
"258","Pamela Jiles","femenino",1,1960
"259","Sandra O'Ryan","femenino",0,1960
"260","Katty Kowaleczko","femenino",0,1964
"261","Claudia Celedón","femenino",0,1966
"262","Ishtar Yasin Gutiérrez","femenino",0,1968
"263","Paola Volpato","femenino",0,1969
"264","Paulina Urrutia","femenino",1,1969
"265","María José Ferrada","femenino",0,1970
"266","Alexandra Castillo","femenino",0,1971
"267","Francisca Imboden","femenino",0,1972
"268","Tamara Acosta","femenino",0,1972
"269","Carola Saavedra","femenino",0,1973
"270","Antonella Ríos","femenino",0,1974
"271","Carolina Fadic","femenino",0,1974
"272","Ingrid Cruz","femenino",0,1975
"273","Mariana Loyola","femenino",0,1975
"274","Alejandra Dueñas","femenino",0,1976
"275","Daniella Campos","femenino",0,1976
"276","Luz Valdivieso","femenino",0,1977
"277","Patricia López-Menadier","femenino",0,1977
"278","Nathalia Aragonese","femenino",0,1981
"279","Pia Miller","femenino",0,1983
"280","María Gracia Omegna","femenino",0,1984
"281","Pascuala Ilabaca","femenino",0,1985
"282","Catalina Vera","femenino",0,1987
"283","Daniela Ramírez","femenino",0,1987
"284","Mayte Rodríguez Cuevas","femenino",0,1989
"285","Constanza Varela","femenino",0,1991
"286","Alicia Rodríguez","femenino",0,1992
"287","Constanza Piccoli Molina","femenino",0,1992
"288","Francisca Silva","femenino",0,1992
"289","Cami","femenino",0,1996
"290","Justicia Acuña Mena","femenino",0,1893
"291","Patricia May","femenino",0,1901
"292","Rebeca Acevedo","femenino",0,1902
"293","Patricia Poblete","femenino",1,1946
"294","Rosanna Costa","femenino",0,1957
"295","Paula Daza","femenino",1,1960
"296","Paula Narváez","femenino",1,1972
"297","Izkia Siches","femenino",1,1986
"298","Rosario Orrego Castañeda","femenino",0,1834
"299","Graciela Romero","femenino",0,1925
"300","Rosa González Román","femenino",1,1942
"301","Paula Escobar","femenino",0,1968
"302","Diana Bolocco","femenino",0,1977
"303","Julia Vial","femenino",0,1977
"304","Macarena Santelices","femenino",1,1977
"305","María Luisa Godoy","femenino",0,1980
"306","Casimiro Torres Valdes","masculino",0,1908
"307","Mariano Castillo Larenas","masculino",0,1905
"308","Carlos Giudice","masculino",0,1906
"309","Waldo Sanhueza","masculino",0,1900
"310","Matías Meneses","masculino",0,1901
"311","Óscar Alfaro","masculino",0,1904
"312","Erick Wiemberg","masculino",0,1901
"313","Sergio Litvak","masculino",0,1901
"314","José Miguel Olguín","masculino",0,1903
"315","Luis Tirado","masculino",0,1906
"316","Germán Reyes","masculino",0,1902
"317","Juan Ibacache","masculino",0,1903
"318","Alejandro Carbonell","masculino",0,1905
"319","Matilde Throup","femenino",0,1870
"320","Alicia Herrera Rivera","femenino",0,1928
"321","Olga Feliú","femenino",1,1932
"322","Mónica Madariaga","femenino",1,1942
"323","Marcela Cubillos","femenino",1,1967
"324","Cecilia Pérez","femenino",1,1974
"325","María José Zaldivar","femenino",1,1975
"326","Olga pablo","femenino",0,1908
"327","Yasna Provoste","femenino",1,1969
"328","Sara Braun","femenino",0,1862
"329","Nicolasa Quintremán","femenino",0,1939
"330","Luisa Durán","femenino",1,1941
"331","Marta Larraechea","femenino",1,1944
"332","Eulogia Echaurren","femenino",1,1830
"333","Ana Echazarreta Pérez Cotapos","femenino",1,1865
"334","Ximena Morla Lynch","femenino",0,1891
"335","Carmen Morla Lynch","femenino",0,1893
"336","Magdalena Petit","femenino",0,1893
"337","Ana Cortés","femenino",0,1895
"338","Herminia Arrate","femenino",0,1895
"339","María Romero","femenino",0,1909
